,0
0,0.00014218045765446223
1,-9.99489204323112e-05
2,0.0005183586704609799
3,0.0002091704020979634
4,0.00034716685930759485
5,0.0032168596466607617
6,0.0027515939554550906
7,0.0022792319124342766
8,0.0045350175617567086
9,0.0003134975620386763
10,0.002266788440171343
11,0.0023193029217984753
12,0.0015852408593880713
13,0.003915404102274294
14,6.079047792079318e-06
15,0.0026193288996211837
16,0.0027933491073712665
17,0.0013147076986922597
18,0.0032351248389448114
19,0.00035454872971697987
20,0.002814771052967118
21,0.002787533588519363
22,0.0023318646049938895
23,0.004383271402365718
24,-0.00016165698544641445
25,0.002411301699878658
26,0.0005144098457297737
27,-0.0001693006835912413
28,0.0032863387458854612
29,0.004183942951112329
30,0.005372291755717027
31,5.133454054861588e-05
32,0.004650625662940843
33,0.003698642002144735
34,-0.011356618280435452
35,-3.1398162779953197e-06
36,0.0002294543685722073
37,0.002753863517060566
38,0.00014556436370441082
39,0.00010174040059054679
40,0.0004166857779838564
41,0.0010062741244477643
42,0.00031218702243705564
43,0.0002598964444911211
44,4.245098710560195e-05
45,0.00031077542488756074
46,0.0005097664386978672
47,0.0005382634207252253
48,0.0008310936674625456
49,8.205498789753747e-05
50,-1.0424752329876039e-05
51,2.3269933419455424e-05
