,0
0,0.00013045959335870622
1,-0.0001870904893258555
2,0.00047626850844961755
3,0.0001907683314800891
4,0.000293377273439428
5,0.003078181531977055
6,0.002576109387088162
7,0.002096249728495786
8,0.003981862143291798
9,0.00025708699528815057
10,0.0019931330608635007
11,0.0019598464427687625
12,0.0014792939477048348
13,0.0036110475599379715
14,2.764823654615523e-06
15,0.0022196752037400348
16,0.0026706359851330587
17,0.0012030120724391931
18,0.0031593962520696747
19,0.00030157750495950225
20,0.002721482532732941
21,0.0026075103128274345
22,0.002174156056886725
23,0.003868629466058426
24,-0.0003757969786463377
25,0.002123202917083162
26,0.0004677827038959739
27,0.00017293471068957712
28,0.0033641952723381164
29,0.0038469575030129
30,0.004898612646356584
31,6.685869033902865e-05
32,0.004257080232814407
33,0.0034101152282892257
34,-0.010407007183733368
35,6.371439671832285e-06
36,0.0002157962759962899
37,0.0026514655560290357
38,0.00019223071576895641
39,7.407113262490873e-05
40,0.00048093630295522363
41,0.0008564908553671254
42,0.00032877058954489113
43,0.0002572108316483731
44,6.297416465071474e-05
45,0.0003252754426852402
46,0.0004475232952880125
47,0.000550757564163657
48,0.000712056804581002
49,0.00012976756444811475
50,1.0264889179382207e-05
51,7.703903221476224e-05
