,0
0,9.045047809997972e-05
1,0.00010228465342015412
2,0.00034351186202505324
3,-0.00010942550956294362
4,0.0001656510618897553
5,0.003346863172433535
6,0.001664857644704711
7,0.001277118267339649
8,0.003031720375350692
9,0.0001760511999677024
10,0.0027036580142834055
11,0.001412271508682023
12,0.0008713815363559233
13,0.0024815354538947638
14,3.116987161498106e-06
15,0.0028648483108271437
16,0.0018745029485269047
17,0.0009005203455944464
18,0.0022695790617217417
19,0.00016905301343634897
20,0.0032175712510585487
21,0.0016954904972032703
22,0.001311680742483453
23,0.002987787178741901
24,-0.000744216026699852
25,0.0027481206583433223
26,0.0005642666618995727
27,0.00023095938926455956
28,0.0021447505015517246
29,0.0023397729280484
30,0.002817153354632219
31,0.00014616089244655277
32,0.0026039255191168988
33,0.002284793328987547
34,-0.007405050815437731
35,1.0093816300403508e-05
36,0.00012118246468365044
37,0.002215742582450221
38,0.00020907726399712576
39,0.00010697859399311338
40,0.0004140861792821284
41,0.0008907013078795948
42,0.00016987360612245644
43,0.00014799783797867235
44,7.900085590948114e-05
45,0.00021044667590041903
46,0.00029458047836480086
47,0.00046424702512627616
48,0.0007869197411155515
49,0.00016650536041232561
50,3.175994100766103e-05
51,6.325642323555914e-05
